epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,38.95,1.81635,5.44486,0.02799,0,0,0,0,2.74973,6.19981,0.02763,2.96935e-05,2.96935e-05,2.96935e-05
47,39.6164,1.69944,5.62092,0.02237,0,0,0,0,2.75864,6.19866,0.02749,2.98114e-05,2.98114e-05,2.98114e-05
48,40.3205,1.58047,5.47123,0.02206,0,0,0,0,2.75864,6.19866,0.02749,2.99058e-05,2.99058e-05,2.99058e-05
49,41.0751,1.67366,5.63974,0.02448,0,0,0,0,2.79142,6.20042,0.02765,2.99766e-05,2.99766e-05,2.99766e-05
50,41.7211,1.61848,5.65382,0.02474,0,0,0,0,2.79142,6.20042,0.02765,3.00238e-05,3.00238e-05,3.00238e-05
51,42.3565,1.68296,5.54023,0.02244,0,0,0,0,2.83747,6.20443,0.02777,3.00475e-05,3.00475e-05,3.00475e-05
52,42.9863,1.43528,5.63523,0.01384,0,0,0,0,2.83747,6.20443,0.02777,3.00476e-05,3.00476e-05,3.00476e-05
53,43.6279,1.33855,5.22512,0.0228,0,0,0,0,2.83747,6.20443,0.02777,3.00242e-05,3.00242e-05,3.00242e-05
54,44.3453,1.43216,5.46422,0.02194,0,0,0,0,2.82077,6.20158,0.02816,2.99772e-05,2.99772e-05,2.99772e-05
55,44.9415,1.64857,5.57573,0.01782,0,0,0,0,2.82077,6.20158,0.02816,2.99066e-05,2.99066e-05,2.99066e-05
56,45.5217,1.27749,5.66045,0.01332,0,0,0,0,2.82077,6.20158,0.02816,2.98125e-05,2.98125e-05,2.98125e-05
57,46.1805,1.42082,5.51608,0.01884,0,0,0,0,2.76887,6.18649,0.02717,2.96948e-05,2.96948e-05,2.96948e-05
58,46.849,1.6194,5.55491,0.02288,0,0,0,0,2.76887,6.18649,0.02717,2.95535e-05,2.95535e-05,2.95535e-05
59,47.5311,1.7505,5.55606,0.02937,0,0,0,0,2.76887,6.18649,0.02717,2.93887e-05,2.93887e-05,2.93887e-05
60,48.235,1.64349,5.43105,0.02892,0,0,0,0,2.69756,6.1737,0.02669,2.92003e-05,2.92003e-05,2.92003e-05
61,48.8314,1.34486,5.52371,0.01686,0,0,0,0,2.69756,6.1737,0.02669,2.89884e-05,2.89884e-05,2.89884e-05
62,49.4848,1.05313,5.46918,0.02005,0,0,0,0,2.69756,6.1737,0.02669,2.87529e-05,2.87529e-05,2.87529e-05
63,50.1418,1.51629,5.30715,0.03221,0,0,0,0,2.69745,6.17667,0.02673,2.84938e-05,2.84938e-05,2.84938e-05
64,50.7047,1.63236,5.40035,0.02037,0,0,0,0,2.69745,6.17667,0.02673,2.82112e-05,2.82112e-05,2.82112e-05
65,51.3104,1.70336,5.65946,0.021,0,0,0,0,2.69745,6.17667,0.02673,2.7905e-05,2.7905e-05,2.7905e-05
66,51.9712,1.37538,5.57807,0.02159,0,0,0,0,2.61093,6.15916,0.02518,2.75753e-05,2.75753e-05,2.75753e-05
